name,commit,solver,CVE,NDeps,Status,Time
storybook-ui,f9618ba,maxnpm_cve_oldness_pip_else_npm,,,missing,
webpack,d0e79df,vanilla,0.0,77.0,success,
webpack,d0e79df,audit fix,0.0,77.0,success,
webpack,d0e79df,audit fix force,0.0,77.0,success,
webpack,d0e79df,maxnpm_cve_oldness,0.0,77.0,success,
webpack,d0e79df,maxnpm_cve_oldness_pip_else_npm,0.0,76.0,success,
beachball,79bc2d6,vanilla,0.0,102.0,success,
beachball,79bc2d6,audit fix,0.0,102.0,success,
beachball,79bc2d6,audit fix force,0.0,102.0,success,
beachball,79bc2d6,maxnpm_cve_oldness,,,missing,
beachball,79bc2d6,maxnpm_cve_oldness_pip_else_npm,,,missing,
webpack,7a6a71f,vanilla,0.0,336.0,success,
webpack,7a6a71f,audit fix,0.0,336.0,success,
webpack,7a6a71f,audit fix force,0.0,336.0,success,
webpack,7a6a71f,maxnpm_cve_oldness,,,missing,
webpack,7a6a71f,maxnpm_cve_oldness_pip_else_npm,,,missing,
bit,7fd7afe,vanilla,329.95,399.0,success,
bit,7fd7afe,audit fix,329.95,379.0,success,
bit,7fd7afe,audit fix force,15.0,112.0,success,
bit,7fd7afe,maxnpm_cve_oldness,,,missing,
bit,7fd7afe,maxnpm_cve_oldness_pip_else_npm,,,missing,
bit,eca1b01,vanilla,28.2,1025.0,success,
bit,eca1b01,audit fix,28.2,1025.0,success,
bit,eca1b01,audit fix force,28.2,1025.0,success,
bit,eca1b01,maxnpm_cve_oldness,,,missing,
bit,eca1b01,maxnpm_cve_oldness_pip_else_npm,,,missing,
postcss-cssnext,fe58bb3,vanilla,21.2,65.0,success,
postcss-cssnext,fe58bb3,audit fix,21.2,65.0,success,
postcss-cssnext,fe58bb3,audit fix force,10.6,66.0,success,
postcss-cssnext,fe58bb3,maxnpm_cve_oldness,12.6,43.0,success,
postcss-cssnext,fe58bb3,maxnpm_cve_oldness_pip_else_npm,12.6,43.0,success,
ledger-live,0cece0e,vanilla,14.5,135.0,success,
ledger-live,0cece0e,audit fix,14.5,135.0,success,
ledger-live,0cece0e,audit fix force,0.0,172.0,success,
ledger-live,0cece0e,maxnpm_cve_oldness,,,missing,
ledger-live,0cece0e,maxnpm_cve_oldness_pip_else_npm,,,missing,
sdk-typescript,2630c1f,vanilla,0.0,80.0,success,
sdk-typescript,2630c1f,audit fix,0.0,80.0,success,
sdk-typescript,2630c1f,audit fix force,0.0,80.0,success,
sdk-typescript,2630c1f,maxnpm_cve_oldness,0.0,33.0,success,
sdk-typescript,2630c1f,maxnpm_cve_oldness_pip_else_npm,0.0,33.0,success,
bit,d90e4cc,vanilla,,,missing,
bit,d90e4cc,audit fix,,,missing,
bit,d90e4cc,audit fix force,,,missing,
bit,d90e4cc,maxnpm_cve_oldness,,,missing,
bit,d90e4cc,maxnpm_cve_oldness_pip_else_npm,,,missing,
node-server-sdk,c9f45ca,vanilla,67.5,75.0,success,
node-server-sdk,c9f45ca,audit fix,67.5,75.0,success,
node-server-sdk,c9f45ca,audit fix force,7.5,75.0,success,
node-server-sdk,c9f45ca,maxnpm_cve_oldness,,,missing,
node-server-sdk,c9f45ca,maxnpm_cve_oldness_pip_else_npm,,,missing,
eslint,5d2083f,vanilla,0.0,120.0,success,
eslint,5d2083f,audit fix,0.0,120.0,success,
eslint,5d2083f,audit fix force,0.0,120.0,success,
eslint,5d2083f,maxnpm_cve_oldness,,,missing,
eslint,5d2083f,maxnpm_cve_oldness_pip_else_npm,,,missing,
react-pdf,4f1cac7,vanilla,11.4,84.0,success,
react-pdf,4f1cac7,audit fix,11.4,84.0,success,
react-pdf,4f1cac7,audit fix force,0.0,85.0,success,
react-pdf,4f1cac7,maxnpm_cve_oldness,11.4,82.0,success,
react-pdf,4f1cac7,maxnpm_cve_oldness_pip_else_npm,11.4,82.0,success,
cos-wx-sdk-v5,0f8a772,vanilla,8.5,2.0,success,
cos-wx-sdk-v5,0f8a772,audit fix,8.5,2.0,success,
cos-wx-sdk-v5,0f8a772,audit fix force,6.5,2.0,success,
cos-wx-sdk-v5,0f8a772,maxnpm_cve_oldness,8.5,2.0,success,
cos-wx-sdk-v5,0f8a772,maxnpm_cve_oldness_pip_else_npm,8.5,2.0,success,
elliptical,d3a793d,vanilla,44.400000000000006,3.0,success,
elliptical,d3a793d,audit fix,44.400000000000006,3.0,success,
elliptical,d3a793d,audit fix force,0.0,3.0,success,
elliptical,d3a793d,maxnpm_cve_oldness,44.400000000000006,3.0,success,
elliptical,d3a793d,maxnpm_cve_oldness_pip_else_npm,,,missing,
ethereumjs-monorepo,3dab96f,vanilla,14.5,11.0,success,
ethereumjs-monorepo,3dab96f,audit fix,14.5,11.0,success,
ethereumjs-monorepo,3dab96f,audit fix force,0.0,14.0,success,
ethereumjs-monorepo,3dab96f,maxnpm_cve_oldness,14.5,11.0,success,
ethereumjs-monorepo,3dab96f,maxnpm_cve_oldness_pip_else_npm,14.5,11.0,success,
cpx2,02189ba,vanilla,0.0,33.0,success,
cpx2,02189ba,audit fix,0.0,33.0,success,
cpx2,02189ba,audit fix force,0.0,33.0,success,
cpx2,02189ba,maxnpm_cve_oldness,0.0,33.0,success,
cpx2,02189ba,maxnpm_cve_oldness_pip_else_npm,0.0,33.0,success,
inceptum,c1905fc,vanilla,202.05,448.0,success,
inceptum,c1905fc,audit fix,202.05,448.0,success,
inceptum,c1905fc,audit fix force,51.599999999999994,457.0,success,
inceptum,c1905fc,maxnpm_cve_oldness,,,missing,
inceptum,c1905fc,maxnpm_cve_oldness_pip_else_npm,,,missing,
hops,fd6e080,vanilla,225.85000000000008,1007.0,success,
hops,fd6e080,audit fix,225.85000000000008,1007.0,success,
hops,fd6e080,audit fix force,225.85000000000008,1007.0,success,
hops,fd6e080,maxnpm_cve_oldness,,,missing,
hops,fd6e080,maxnpm_cve_oldness_pip_else_npm,,,missing,
appium,28ac080,vanilla,574.0500000000001,285.0,success,
appium,28ac080,audit fix,574.0500000000001,286.0,success,
appium,28ac080,audit fix force,574.0500000000001,285.0,success,
appium,28ac080,maxnpm_cve_oldness,,,missing,
appium,28ac080,maxnpm_cve_oldness_pip_else_npm,,,missing,
client,0834e89,vanilla,158.00000000000003,421.0,success,
client,0834e89,audit fix,158.00000000000003,421.0,success,
client,0834e89,audit fix force,10.6,473.0,success,
client,0834e89,maxnpm_cve_oldness,,,missing,
client,0834e89,maxnpm_cve_oldness_pip_else_npm,,,missing,
ember-cli,5cc80d3,vanilla,32.1,1017.0,success,
ember-cli,5cc80d3,audit fix,32.1,1017.0,success,
ember-cli,5cc80d3,audit fix force,22.6,1026.0,success,
ember-cli,5cc80d3,maxnpm_cve_oldness,,,missing,
ember-cli,5cc80d3,maxnpm_cve_oldness_pip_else_npm,,,missing,
jsonld.js,e61862c,vanilla,,,missing,
jsonld.js,e61862c,audit fix,40.25,55.0,success,
jsonld.js,e61862c,audit fix force,6.5,54.0,success,
jsonld.js,e61862c,maxnpm_cve_oldness,40.25,49.0,success,
jsonld.js,e61862c,maxnpm_cve_oldness_pip_else_npm,40.25,49.0,success,
higlass,16968c0,vanilla,44.05,285.0,success,
higlass,16968c0,audit fix,44.05,285.0,success,
higlass,16968c0,audit fix force,15.899999999999999,235.0,success,
higlass,16968c0,maxnpm_cve_oldness,,,missing,
higlass,16968c0,maxnpm_cve_oldness_pip_else_npm,,,missing,
release-it,491175a,vanilla,50.35000000000001,330.0,success,
release-it,491175a,audit fix,50.35000000000001,330.0,success,
release-it,491175a,audit fix force,5.3,339.0,success,
release-it,491175a,maxnpm_cve_oldness,43.05,282.0,success,
release-it,491175a,maxnpm_cve_oldness_pip_else_npm,43.05,281.0,success,
ledger-live,db0318b,vanilla,,,missing,
ledger-live,db0318b,audit fix,,,missing,
ledger-live,db0318b,audit fix force,,,missing,
ledger-live,db0318b,maxnpm_cve_oldness,,,missing,
ledger-live,db0318b,maxnpm_cve_oldness_pip_else_npm,,,missing,
jsonld.js,79a7cfb,vanilla,44.45,43.0,success,
jsonld.js,79a7cfb,audit fix,44.45,43.0,success,
jsonld.js,79a7cfb,audit fix force,6.5,113.0,success,
jsonld.js,79a7cfb,maxnpm_cve_oldness,,,missing,
jsonld.js,79a7cfb,maxnpm_cve_oldness_pip_else_npm,19.55,22.0,success,
ducatuscore-lib,203b605,vanilla,596.9,740.0,success,
ducatuscore-lib,203b605,audit fix,596.9,740.0,success,
ducatuscore-lib,203b605,audit fix force,256.90000000000003,918.0,success,
ducatuscore-lib,203b605,maxnpm_cve_oldness,,,missing,
ducatuscore-lib,203b605,maxnpm_cve_oldness_pip_else_npm,,,missing,
npm,584676f,vanilla,120.7,221.0,success,
npm,584676f,audit fix,120.7,221.0,success,
npm,584676f,audit fix force,0.0,287.0,success,
npm,584676f,maxnpm_cve_oldness,,,missing,
npm,584676f,maxnpm_cve_oldness_pip_else_npm,65.8,188.0,success,
cytoscape-sbgn-stylesheet,a28a456,vanilla,0.0,8.0,success,
cytoscape-sbgn-stylesheet,a28a456,audit fix,0.0,8.0,success,
cytoscape-sbgn-stylesheet,a28a456,audit fix force,0.0,8.0,success,
cytoscape-sbgn-stylesheet,a28a456,maxnpm_cve_oldness,,,missing,
cytoscape-sbgn-stylesheet,a28a456,maxnpm_cve_oldness_pip_else_npm,,,missing,
angular-cli,9db6dee,vanilla,780.1500000000002,921.0,success,
angular-cli,9db6dee,audit fix,780.1500000000002,921.0,success,
angular-cli,9db6dee,audit fix force,32.1,940.0,success,
angular-cli,9db6dee,maxnpm_cve_oldness,,,missing,
angular-cli,9db6dee,maxnpm_cve_oldness_pip_else_npm,,,missing,
bit,8466bc2,vanilla,,,missing,
bit,8466bc2,audit fix,,,missing,
bit,8466bc2,audit fix force,,,missing,
bit,8466bc2,maxnpm_cve_oldness,,,missing,
bit,8466bc2,maxnpm_cve_oldness_pip_else_npm,,,missing,
bitcore,4997c2d,vanilla,,,missing,
bitcore,4997c2d,audit fix,,,missing,
bitcore,4997c2d,audit fix force,,,missing,
bitcore,4997c2d,maxnpm_cve_oldness,,,missing,
bitcore,4997c2d,maxnpm_cve_oldness_pip_else_npm,58.900000000000006,8.0,success,
node-client,dd2c27c,vanilla,0.0,206.0,success,
node-client,dd2c27c,audit fix,0.0,206.0,success,
node-client,dd2c27c,audit fix force,0.0,206.0,success,
node-client,dd2c27c,maxnpm_cve_oldness,0.0,187.0,success,
node-client,dd2c27c,maxnpm_cve_oldness_pip_else_npm,0.0,189.0,success,
anyproxy,2db0fa4,vanilla,301.6,393.0,success,
anyproxy,2db0fa4,audit fix,301.6,389.0,success,
anyproxy,2db0fa4,audit fix force,301.6,393.0,success,
anyproxy,2db0fa4,maxnpm_cve_oldness,,,missing,
anyproxy,2db0fa4,maxnpm_cve_oldness_pip_else_npm,,,missing,
