name,commit,solver,CVE,NDeps,Status,Time
codsen,6b75b97,audit fix,0.0,0.0,success,
codsen,6b75b97,audit fix force,0.0,0.0,success,
codsen,6b75b97,maxnpm_cve_oldness,,,missing,
codsen,6b75b97,maxnpm_cve_oldness_pip_else_npm,,,missing,
docket-parser,8c94592,vanilla,9.8,5.0,success,
docket-parser,8c94592,audit fix,9.8,5.0,success,
docket-parser,8c94592,audit fix force,0.0,20.0,success,
docket-parser,8c94592,maxnpm_cve_oldness,0.0,20.0,success,
docket-parser,8c94592,maxnpm_cve_oldness_pip_else_npm,9.8,5.0,success,
mnemonic-lib,0bf9937,vanilla,14.5,19.0,success,
mnemonic-lib,0bf9937,audit fix,14.5,19.0,success,
mnemonic-lib,0bf9937,audit fix force,14.5,19.0,success,
mnemonic-lib,0bf9937,maxnpm_cve_oldness,14.5,19.0,success,
mnemonic-lib,0bf9937,maxnpm_cve_oldness_pip_else_npm,14.5,19.0,success,
kbone,9294424,vanilla,0.0,0.0,success,
kbone,9294424,audit fix,0.0,0.0,success,
kbone,9294424,audit fix force,0.0,0.0,success,
kbone,9294424,maxnpm_cve_oldness,,,missing,
kbone,9294424,maxnpm_cve_oldness_pip_else_npm,,,missing,
postcss-scopify,09949fc,vanilla,5.3,15.0,success,
postcss-scopify,09949fc,audit fix,5.3,15.0,success,
postcss-scopify,09949fc,audit fix force,0.0,7.0,success,
postcss-scopify,09949fc,maxnpm_cve_oldness,0.0,7.0,success,
postcss-scopify,09949fc,maxnpm_cve_oldness_pip_else_npm,5.3,8.0,success,
bip21,270a168,vanilla,0.0,22.0,success,
bip21,270a168,audit fix,0.0,22.0,success,
bip21,270a168,audit fix force,0.0,22.0,success,
bip21,270a168,maxnpm_cve_oldness,0.0,21.0,success,
bip21,270a168,maxnpm_cve_oldness_pip_else_npm,0.0,21.0,success,
postcss-image-set-polyfill,68fbdd3,vanilla,,,missing,
postcss-image-set-polyfill,68fbdd3,audit fix,,,missing,
postcss-image-set-polyfill,68fbdd3,audit fix force,,,missing,
postcss-image-set-polyfill,68fbdd3,maxnpm_cve_oldness,,,missing,
postcss-image-set-polyfill,68fbdd3,maxnpm_cve_oldness_pip_else_npm,0.0,5.0,success,
swagger-express-validator,48bda9c,vanilla,10.899999999999999,10.0,success,
swagger-express-validator,48bda9c,audit fix,10.899999999999999,10.0,success,
swagger-express-validator,48bda9c,audit fix force,0.0,12.0,success,
swagger-express-validator,48bda9c,maxnpm_cve_oldness,0.0,12.0,success,
swagger-express-validator,48bda9c,maxnpm_cve_oldness_pip_else_npm,10.899999999999999,10.0,success,
react-native-datalogic-module,c33b33f,vanilla,,,missing,
react-native-datalogic-module,c33b33f,audit fix,,,missing,
react-native-datalogic-module,c33b33f,audit fix force,,,missing,
react-native-datalogic-module,c33b33f,maxnpm_cve_oldness,,,missing,
react-native-datalogic-module,c33b33f,maxnpm_cve_oldness_pip_else_npm,,,missing,
mediasoup-client,17cb048,vanilla,,,missing,
mediasoup-client,17cb048,audit fix,,,missing,
mediasoup-client,17cb048,audit fix force,,,missing,
mediasoup-client,17cb048,maxnpm_cve_oldness,,,missing,
mediasoup-client,17cb048,maxnpm_cve_oldness_pip_else_npm,0.0,5.0,success,
with-query,26964e6,vanilla,0.0,9.0,success,
with-query,26964e6,audit fix,0.0,9.0,success,
with-query,26964e6,audit fix force,0.0,9.0,success,
with-query,26964e6,maxnpm_cve_oldness,0.0,9.0,success,
with-query,26964e6,maxnpm_cve_oldness_pip_else_npm,0.0,9.0,success,
vueify-sync,b9e0bfe,vanilla,41.45,158.0,success,
vueify-sync,b9e0bfe,audit fix,41.45,158.0,success,
vueify-sync,b9e0bfe,audit fix force,0.0,108.0,success,
vueify-sync,b9e0bfe,maxnpm_cve_oldness,,,missing,
vueify-sync,b9e0bfe,maxnpm_cve_oldness_pip_else_npm,,,missing,
strong-arc,86e5f5d,vanilla,1051.2499999999995,1131.0,success,
strong-arc,86e5f5d,audit fix,1051.2499999999995,1127.0,success,
strong-arc,86e5f5d,audit fix force,1051.2499999999995,1131.0,success,
strong-arc,86e5f5d,maxnpm_cve_oldness,,,missing,
strong-arc,86e5f5d,maxnpm_cve_oldness_pip_else_npm,,,missing,
cli,00227de,vanilla,145.05,102.0,success,
cli,00227de,audit fix,145.05,102.0,success,
cli,00227de,audit fix force,145.05,102.0,success,
cli,00227de,maxnpm_cve_oldness,,,missing,
cli,00227de,maxnpm_cve_oldness_pip_else_npm,137.55,65.0,success,
axon,1e9a6bc,vanilla,0.0,2.0,success,
axon,1e9a6bc,audit fix,0.0,2.0,success,
