Package,Oldness
body-parser,0.1568381455146161
psl,0
minimalistic-assert,0
@babel_helper-create-class-features-plugin,0.11832303438526569
rxjs,0.09375
ansi-colors,0
request-promise-core,0.0
esprima,0
loader-runner,0
@sindresorhus_is,0
stream-browserify,0.0
json-stringify-safe,0
@webassemblyjs_wasm-parser,0.0
sockjs-client,0.030758486969667095
globals,0.5833333333333334
mixin-deep,0
@babel_plugin-proposal-logical-assignment-operators,0.0
autoprefixer,0.05644892470514721
source-list-map,0
tsconfig-paths,0.18417874396135264
mkdirp,0
public-encrypt,0.025495337995337996
redent,0.0
callsites,0
color-string,0.0
@babel_plugin-transform-modules-amd,0.09101771875789667
p-locate,0.0
throat,0
shallow-clone,0.0
regenerator-transform,0.0
detect-node,0
astral-regex,0
fb-watchman,0.0
@babel_helper-validator-identifier,0
abab,0
eventemitter3,0
color-convert,0.0
lowercase-keys,0
ast-types,0.0
type-is,0.19047619047619047
import-fresh,0.2809523809523809
escape-string-regexp,0
serialize-javascript,0.0
buffer-crc32,0
loose-envify,0.17647058823529413
makeerror,0.0
@babel_runtime,0.0
unique-slug,0.0
ansi-regex,0
typedarray-to-buffer,0
schema-utils,0.08494185246352877
@babel_types,0.21428571428571427
defer-to-connect,0
resolve,0.0
lines-and-columns,0
fast-levenshtein,0.0
ms,0
@babel_helper-compilation-targets,0.01942387837657038
slash,0
raw-body,0.1247802736479207
domhandler,0.06666666666666667
@webassemblyjs_wasm-edit,0.0
is-path-inside,0
@babel_helpers,0.13652657813684502
resolve-cwd,0.0
@babel_plugin-syntax-object-rest-spread,0.0
pinkie,0
type-fest,0
to-fast-properties,0
lodash.clonedeep,0
minimist,0
os-tmpdir,0
babel-plugin-dynamic-import-node,0.0
js-tokens,0
@babel_plugin-transform-typeof-symbol,0.0
require-main-filename,0
human-signals,0
path-type,0
jsprim,0.24909090909090909
html-entities,0
is-extendable,0.3
ripemd160,0.0
setprototypeof,0
@babel_plugin-proposal-unicode-property-regex,0.08576839826839827
core-util-is,0
del,0.07276581649135185
fs-minipass,0.0
cyclist,0
tunnel-agent,0.0
cssom,0
is-installed-globally,0.05458089668615984
@babel_plugin-transform-destructuring,0.0
array-unique,0
signal-exit,0
postcss-value-parser,0
is-core-module,0.0
has-bigints,0
npm-run-path,0.16666666666666666
@babel_plugin-transform-unicode-regex,0.08576839826839827
yargs-parser,0
is-data-descriptor,0.0
regenerate,0
object.getownpropertydescriptors,0.0005376344086021505
@babel_parser,0
base64-js,0
is-ci,0.0
color,0.0
doctrine,0.0
follow-redirects,0
postcss-modules-local-by-default,0.004081632653061224
lru-cache,0.0
@webassemblyjs_helper-code-frame,0.0
domain-browser,0
forwarded,0
cli-cursor,0.12797619047619047
symbol-observable,0
isarray,0
string-length,0.0
end-of-stream,0.0
regjsparser,0.7619047619047619
collection-visit,0.03333333333333333
@babel_plugin-transform-reserved-words,0.0
@babel_plugin-syntax-export-namespace-from,0.0
micromatch,0.0
@babel_plugin-transform-new-target,0.0
@babel_plugin-proposal-private-methods,0.11092784473618658
convert-source-map,0.2
strip-final-newline,0
map-visit,0.05
regjsgen,0
regenerate-unicode-properties,0.0
@babel_helper-remap-async-to-generator,0.12677467969849893
caseless,0
union-value,0.1826086956521739
webpack-sources,0
has-ansi,0.0
detect-newline,0
clean-stack,0.0
lodash.debounce,0
lodash.sortby,0
parse-asn1,0.022941970310391364
which,0.0
is-windows,0
util.promisify,0.000505050505050505
buffer,0.0
pseudomap,0
lodash.merge,0
emoji-regex,0
on-finished,0.0
os-locale,0.21428571428571427
wide-align,0.5538194444444444
http-parser-js,0
@webassemblyjs_ast,0.0
run-async,0
pascalcase,0
